CD_MUN,MUN,AREA_KM2,13,15,16,18,30,45,50,70,vencedor_votacao,total,% VOTACAO,vencedor,vencedor_nome,% 13,% 15,% 16,% 18,% 30,% 45,% 50,% 70
3100104,ABADIA DOS DOURADOS - MG,880.461,646,26,1,1,2218,731,12,5,2218,3640,60.93,30,ROMEU ZEMA,17.75,0.71,0.03,0.03,60.93,20.08,0.33,0.14
3100203,ABAETÉ - MG,1817.067,1303,157,6,23,5630,4259,54,8,5630,11440,49.21,30,ROMEU ZEMA,11.39,1.37,0.05,0.20,49.21,37.23,0.47,0.07
3100302,ABRE CAMPO - MG,470.551,2303,204,7,26,2236,1808,53,12,2303,6649,34.64,13,FERNANDO PIMENTEL,34.64,3.07,0.11,0.39,33.63,27.19,0.80,0.18
3100401,ACAIACA - MG,101.886,923,30,2,3,422,595,9,0,923,1984,46.52,13,FERNANDO PIMENTEL,46.52,1.51,0.10,0.15,21.27,29.99,0.45,0.00
3100500,AÇUCENA - MG,815.422,1847,28,4,6,908,1433,11,5,1847,4242,43.54,13,FERNANDO PIMENTEL,43.54,0.66,0.09,0.14,21.40,33.78,0.26,0.12
3100609,ÁGUA BOA - MG,1320.344,2768,86,0,7,1074,2871,14,4,2871,6824,42.07,45,ANTONIO ANASTASIA,40.56,1.26,0.00,0.10,15.74,42.07,0.21,0.06
3100708,ÁGUA COMPRIDA - MG,492.167,236,7,0,3,799,285,3,3,799,1336,59.81,30,ROMEU ZEMA,17.66,0.52,0.00,0.22,59.81,21.33,0.22,0.22
3100807,AGUANIL - MG,232.091,559,41,2,6,1134,530,8,1,1134,2281,49.72,30,ROMEU ZEMA,24.51,1.80,0.09,0.26,49.72,23.24,0.35,0.04
3100906,ÁGUAS FORMOSAS - MG,820.0789999999998,4175,102,1,13,2084,2726,41,1,4175,9143,45.66,13,FERNANDO PIMENTEL,45.66,1.12,0.01,0.14,22.79,29.82,0.45,0.01
3101003,ÁGUAS VERMELHAS - MG,1256.607,2113,69,2,16,786,2309,11,10,2309,5316,43.43,45,ANTONIO ANASTASIA,39.75,1.30,0.04,0.30,14.79,43.43,0.21,0.19
3101102,AIMORÉS - MG,1348.913,3139,1463,12,112,4101,2963,49,10,4101,11849,34.61,30,ROMEU ZEMA,26.49,12.35,0.10,0.95,34.61,25.01,0.41,0.08
3101201,AIURUOCA - MG,649.68,439,24,4,13,885,1374,38,0,1374,2777,49.48,45,ANTONIO ANASTASIA,15.81,0.86,0.14,0.47,31.87,49.48,1.37,0.00
3101300,ALAGOA - MG,161.356,133,10,1,1,136,1409,2,0,1409,1692,83.27,45,ANTONIO ANASTASIA,7.86,0.59,0.06,0.06,8.04,83.27,0.12,0.00
3101409,ALBERTINA - MG,58.01,85,13,1,1,226,1347,5,0,1347,1678,80.27,45,ANTONIO ANASTASIA,5.07,0.77,0.06,0.06,13.47,80.27,0.30,0.00
3101508,ALÉM PARAÍBA - MG,510.25,4730,653,19,73,5308,6315,332,18,6315,17448,36.19,45,ANTONIO ANASTASIA,27.11,3.74,0.11,0.42,30.42,36.19,1.90,0.10
3101607,ALFENAS - MG,850.446,6851,454,36,170,20654,8520,451,44,20654,37180,55.55,30,ROMEU ZEMA,18.43,1.22,0.10,0.46,55.55,22.92,1.21,0.12
3101631,ALFREDO VASCONCELOS - MG,130.815,766,54,2,7,1280,1266,20,3,1280,3398,37.67,30,ROMEU ZEMA,22.54,1.59,0.06,0.21,37.67,37.26,0.59,0.09
3101706,ALMENARA - MG,2294.426,10756,279,7,63,3170,3900,48,9,10756,18232,59.00,13,FERNANDO PIMENTEL,59.00,1.53,0.04,0.35,17.39,21.39,0.26,0.05
3101805,ALPERCATA - MG,166.972,1336,79,3,5,1213,1159,13,6,1336,3814,35.03,13,FERNANDO PIMENTEL,35.03,2.07,0.08,0.13,31.80,30.39,0.34,0.16
3101904,ALPINÓPOLIS - MG,460.685,1617,81,4,58,5530,2891,52,13,5530,10246,53.97,30,ROMEU ZEMA,15.78,0.79,0.04,0.57,53.97,28.22,0.51,0.13
3102001,ALTEROSA - MG,362.01,1591,58,4,20,3300,3005,29,4,3300,8011,41.19,30,ROMEU ZEMA,19.86,0.72,0.05,0.25,41.19,37.51,0.36,0.05
3102050,ALTO CAPARAÓ - MG,103.69,378,52,0,3,1417,1162,7,0,1417,3019,46.94,30,ROMEU ZEMA,12.52,1.72,0.00,0.10,46.94,38.49,0.23,0.00
3102100,ALTO RIO DOCE - MG,518.053,2797,60,7,8,903,1936,64,11,2797,5786,48.34,13,FERNANDO PIMENTEL,48.34,1.04,0.12,0.14,15.61,33.46,1.11,0.19
3102209,ALVARENGA - MG,278.175,1217,28,0,6,501,1101,6,0,1217,2859,42.57,13,FERNANDO PIMENTEL,42.57,0.98,0.00,0.21,17.52,38.51,0.21,0.00
3102308,ALVINÓPOLIS - MG,599.443,2980,197,5,23,2319,2271,54,8,2980,7857,37.93,13,FERNANDO PIMENTEL,37.93,2.51,0.06,0.29,29.52,28.90,0.69,0.10
3102407,ALVORADA DE MINAS - MG,374.008,757,48,0,4,468,992,6,9,992,2284,43.43,45,ANTONIO ANASTASIA,33.14,2.10,0.00,0.18,20.49,43.43,0.26,0.39
3102506,AMPARO DO SERRA - MG,136.186,1517,38,0,6,484,863,10,5,1517,2923,51.90,13,FERNANDO PIMENTEL,51.90,1.30,0.00,0.21,16.56,29.52,0.34,0.17
3102605,ANDRADAS - MG,469.396,1751,343,4,107,5755,10459,157,9,10459,18585,56.28,45,ANTONIO ANASTASIA,9.42,1.85,0.02,0.58,30.97,56.28,0.84,0.05
3102704,CACHOEIRA DE PAJEÚ - MG,695.672,1524,772,0,1,659,1053,8,3,1524,4020,37.91,13,FERNANDO PIMENTEL,37.91,19.20,0.00,0.02,16.39,26.19,0.20,0.07
3102803,ANDRELÂNDIA - MG,1005.285,1561,48,10,17,1661,2203,41,3,2203,5544,39.74,45,ANTONIO ANASTASIA,28.16,0.87,0.18,0.31,29.96,39.74,0.74,0.05
3102852,ANGELÂNDIA - MG,185.211,1178,30,0,8,730,1750,4,3,1750,3703,47.26,45,ANTONIO ANASTASIA,31.81,0.81,0.00,0.22,19.71,47.26,0.11,0.08
3102902,ANTÔNIO CARLOS - MG,529.915,1872,124,8,11,1823,1627,46,10,1872,5521,33.91,13,FERNANDO PIMENTEL,33.91,2.25,0.14,0.20,33.02,29.47,0.83,0.18
3103009,ANTÔNIO DIAS - MG,787.061,1333,204,3,19,1634,2144,24,1,2144,5362,39.99,45,ANTONIO ANASTASIA,24.86,3.80,0.06,0.35,30.47,39.99,0.45,0.02
3103108,ANTÔNIO PRADO DE MINAS - MG,83.802,381,12,0,19,224,729,4,1,729,1370,53.21,45,ANTONIO ANASTASIA,27.81,0.88,0.00,1.39,16.35,53.21,0.29,0.07
3103207,ARAÇAÍ - MG,187.538,291,44,2,8,530,740,10,1,740,1626,45.51,45,ANTONIO ANASTASIA,17.90,2.71,0.12,0.49,32.60,45.51,0.62,0.06
3103306,ARACITABA - MG,106.608,346,30,1,2,291,659,11,2,659,1342,49.11,45,ANTONIO ANASTASIA,25.78,2.24,0.07,0.15,21.68,49.11,0.82,0.15
3103405,ARAÇUAÍ - MG,2236.279,7801,322,15,19,2993,3986,83,17,7801,15236,51.20,13,FERNANDO PIMENTEL,51.20,2.11,0.10,0.12,19.64,26.16,0.54,0.11
3103504,ARAGUARI - MG,2729.777,6222,1186,45,170,36492,10938,441,50,36492,55544,65.70,30,ROMEU ZEMA,11.20,2.14,0.08,0.31,65.70,19.69,0.79,0.09
3103603,ARANTINA - MG,89.42,512,20,2,5,400,598,21,1,598,1559,38.36,45,ANTONIO ANASTASIA,32.84,1.28,0.13,0.32,25.66,38.36,1.35,0.06
3103702,ARAPONGA - MG,303.793,2225,33,6,7,450,1373,17,1,2225,4112,54.11,13,FERNANDO PIMENTEL,54.11,0.80,0.15,0.17,10.94,33.39,0.41,0.02
3103751,ARAPORÃ - MG,294.354,419,38,1,16,969,2100,26,3,2100,3572,58.79,45,ANTONIO ANASTASIA,11.73,1.06,0.03,0.45,27.13,58.79,0.73,0.08
3103801,ARAPUÁ - MG,173.894,185,20,0,3,1023,714,6,2,1023,1953,52.38,30,ROMEU ZEMA,9.47,1.02,0.00,0.15,52.38,36.56,0.31,0.10
3103900,ARAÚJOS - MG,245.522,270,90,0,11,3138,559,26,7,3138,4101,76.52,30,ROMEU ZEMA,6.58,2.19,0.00,0.27,76.52,13.63,0.63,0.17
3104007,ARAXÁ - MG,1164.062,3816,225,11,73,43614,3786,294,98,43614,51917,84.01,30,ROMEU ZEMA,7.35,0.43,0.02,0.14,84.01,7.29,0.57,0.19
3104106,ARCEBURGO - MG,162.875,645,51,6,21,1728,1455,29,31,1728,3966,43.57,30,ROMEU ZEMA,16.26,1.29,0.15,0.53,43.57,36.69,0.73,0.78
3104205,ARCOS - MG,509.873,1937,250,11,60,13652,3506,231,18,13652,19665,69.42,30,ROMEU ZEMA,9.85,1.27,0.06,0.31,69.42,17.83,1.17,0.09
3104304,AREADO - MG,283.124,674,78,3,32,4361,2243,54,36,4361,7481,58.29,30,ROMEU ZEMA,9.01,1.04,0.04,0.43,58.29,29.98,0.72,0.48
