CD_MUN,MUN,AREA_KM2,16,21,22,29,30,35,45,50,55,80,vencedor_votacao,total,% VOTACAO,vencedor,% 16,% 21,% 22,% 29,% 30,% 35,% 45,% 50,% 55,% 80
3100104,ABADIA DOS DOURADOS - MG,880.461,1,2,156,0,2503,9,17,9,1298,5,2503,4000,62.58,30,0.03,0.05,3.90,0.00,62.58,0.22,0.43,0.22,32.45,0.12
3100203,ABAETÉ - MG,1817.067,9,8,682,0,7778,22,198,27,3546,14,7778,12284,63.32,30,0.07,0.07,5.55,0.00,63.32,0.18,1.61,0.22,28.87,0.11
3100302,ABRE CAMPO - MG,470.551,12,8,410,0,3316,13,191,22,3648,13,3648,7633,47.79,55,0.16,0.10,5.37,0.00,43.44,0.17,2.50,0.29,47.79,0.17
3100401,ACAIACA - MG,101.886,1,2,93,0,847,0,16,5,1203,1,1203,2168,55.49,55,0.05,0.09,4.29,0.00,39.07,0.00,0.74,0.23,55.49,0.05
3100500,AÇUCENA - MG,815.422,7,5,261,0,1943,10,146,1,2140,5,2140,4518,47.37,55,0.15,0.11,5.78,0.00,43.01,0.22,3.23,0.02,47.37,0.11
3100609,ÁGUA BOA - MG,1320.344,0,6,387,0,2983,13,25,6,3351,6,3351,6777,49.45,55,0.00,0.09,5.71,0.00,44.02,0.19,0.37,0.09,49.45,0.09
3100708,ÁGUA COMPRIDA - MG,492.167,5,1,102,0,1029,26,2,1,367,3,1029,1536,66.99,30,0.33,0.07,6.64,0.00,66.99,1.69,0.13,0.07,23.89,0.20
3100807,AGUANIL - MG,232.091,3,1,117,0,1745,6,7,5,671,8,1745,2563,68.08,30,0.12,0.04,4.56,0.00,68.08,0.23,0.27,0.20,26.18,0.31
3100906,ÁGUAS FORMOSAS - MG,820.0789999999998,1,4,389,0,5371,13,91,18,3985,12,5371,9884,54.34,30,0.01,0.04,3.94,0.00,54.34,0.13,0.92,0.18,40.32,0.12
3101003,ÁGUAS VERMELHAS - MG,1256.607,1,9,214,0,3061,48,22,2,2598,1,3061,5956,51.39,30,0.02,0.15,3.59,0.00,51.39,0.81,0.37,0.03,43.62,0.02
3101102,AIMORÉS - MG,1348.913,4,8,944,0,7393,36,27,38,3992,10,7393,12452,59.37,30,0.03,0.06,7.58,0.00,59.37,0.29,0.22,0.31,32.06,0.08
3101201,AIURUOCA - MG,649.68,4,5,167,0,2103,3,44,15,909,5,2103,3255,64.61,30,0.12,0.15,5.13,0.00,64.61,0.09,1.35,0.46,27.93,0.15
3101300,ALAGOA - MG,161.356,0,2,71,0,1423,0,6,5,232,0,1423,1739,81.83,30,0.00,0.12,4.08,0.00,81.83,0.00,0.35,0.29,13.34,0.00
3101409,ALBERTINA - MG,58.01,0,2,161,0,1640,0,13,2,196,1,1640,2015,81.39,30,0.00,0.10,7.99,0.00,81.39,0.00,0.65,0.10,9.73,0.05
3101508,ALÉM PARAÍBA - MG,510.25,9,26,767,0,11987,20,227,77,5616,28,11987,18757,63.91,30,0.05,0.14,4.09,0.00,63.91,0.11,1.21,0.41,29.94,0.15
3101607,ALFENAS - MG,850.446,35,81,2498,0,27012,62,145,266,10596,84,27012,40779,66.24,30,0.09,0.20,6.13,0.00,66.24,0.15,0.36,0.65,25.98,0.21
3101631,ALFREDO VASCONCELOS - MG,130.815,1,6,205,0,2358,8,15,8,1380,5,2358,3986,59.16,30,0.03,0.15,5.14,0.00,59.16,0.20,0.38,0.20,34.62,0.13
3101706,ALMENARA - MG,2294.426,10,8,1372,0,5996,24,91,29,11674,8,11674,19212,60.76,55,0.05,0.04,7.14,0.00,31.21,0.12,0.47,0.15,60.76,0.04
3101805,ALPERCATA - MG,166.972,2,0,307,0,1961,6,19,7,1692,0,1961,3994,49.10,30,0.05,0.00,7.69,0.00,49.10,0.15,0.48,0.18,42.36,0.00
3101904,ALPINÓPOLIS - MG,460.685,6,5,659,0,7349,17,56,32,2706,18,7349,10848,67.75,30,0.06,0.05,6.07,0.00,67.75,0.16,0.52,0.29,24.94,0.17
3102001,ALTEROSA - MG,362.01,6,4,392,0,5721,4,21,11,2366,6,5721,8531,67.06,30,0.07,0.05,4.60,0.00,67.06,0.05,0.25,0.13,27.73,0.07
3102050,ALTO CAPARAÓ - MG,103.69,0,2,223,0,2406,2,15,10,695,2,2406,3355,71.71,30,0.00,0.06,6.65,0.00,71.71,0.06,0.45,0.30,20.72,0.06
3102100,ALTO RIO DOCE - MG,518.053,4,4,202,0,3531,8,26,29,2427,7,3531,6238,56.60,30,0.06,0.06,3.24,0.00,56.60,0.13,0.42,0.46,38.91,0.11
3102209,ALVARENGA - MG,278.175,1,0,180,0,1330,0,10,4,1593,5,1593,3123,51.01,55,0.03,0.00,5.76,0.00,42.59,0.00,0.32,0.13,51.01,0.16
3102308,ALVINÓPOLIS - MG,599.443,4,10,235,0,3687,9,82,17,4530,5,4530,8579,52.80,55,0.05,0.12,2.74,0.00,42.98,0.10,0.96,0.20,52.80,0.06
3102407,ALVORADA DE MINAS - MG,374.008,2,0,88,0,1173,2,52,9,1221,1,1221,2548,47.92,55,0.08,0.00,3.45,0.00,46.04,0.08,2.04,0.35,47.92,0.04
3102506,AMPARO DO SERRA - MG,136.186,1,2,87,0,989,2,9,3,1990,1,1990,3084,64.53,55,0.03,0.06,2.82,0.00,32.07,0.06,0.29,0.10,64.53,0.03
3102605,ANDRADAS - MG,469.396,11,25,1147,0,15693,24,88,76,2923,19,15693,20006,78.44,30,0.05,0.12,5.73,0.00,78.44,0.12,0.44,0.38,14.61,0.09
3102704,CACHOEIRA DE PAJEÚ - MG,695.672,1,1,677,0,1575,7,10,6,2020,3,2020,4300,46.98,55,0.02,0.02,15.74,0.00,36.63,0.16,0.23,0.14,46.98,0.07
3102803,ANDRELÂNDIA - MG,1005.285,1,3,257,0,3555,11,111,14,2102,5,3555,6059,58.67,30,0.02,0.05,4.24,0.00,58.67,0.18,1.83,0.23,34.69,0.08
3102852,ANGELÂNDIA - MG,185.211,1,6,188,0,2736,6,11,10,1112,3,2736,4073,67.17,30,0.02,0.15,4.62,0.00,67.17,0.15,0.27,0.25,27.30,0.07
3102902,ANTÔNIO CARLOS - MG,529.915,4,5,275,0,3386,12,47,22,2308,8,3386,6067,55.81,30,0.07,0.08,4.53,0.00,55.81,0.20,0.77,0.36,38.04,0.13
3103009,ANTÔNIO DIAS - MG,787.061,2,3,289,0,3077,16,26,10,2306,9,3077,5738,53.62,30,0.03,0.05,5.04,0.00,53.62,0.28,0.45,0.17,40.19,0.16
3103108,ANTÔNIO PRADO DE MINAS - MG,83.802,0,1,47,0,889,1,10,5,405,0,889,1358,65.46,30,0.00,0.07,3.46,0.00,65.46,0.07,0.74,0.37,29.82,0.00
3103207,ARAÇAÍ - MG,187.538,6,1,84,0,880,1,3,2,695,1,880,1673,52.60,30,0.36,0.06,5.02,0.00,52.60,0.06,0.18,0.12,41.54,0.06
3103306,ARACITABA - MG,106.608,1,1,55,0,1205,2,10,7,451,1,1205,1733,69.53,30,0.06,0.06,3.17,0.00,69.53,0.12,0.58,0.40,26.02,0.06
3103405,ARAÇUAÍ - MG,2236.279,10,7,970,0,6123,13,66,28,8885,8,8885,16110,55.15,55,0.06,0.04,6.02,0.00,38.01,0.08,0.41,0.17,55.15,0.05
3103504,ARAGUARI - MG,2729.777,50,69,3768,0,44795,106,231,283,11653,112,44795,61067,73.35,30,0.08,0.11,6.17,0.00,73.35,0.17,0.38,0.46,19.08,0.18
3103603,ARANTINA - MG,89.42,0,4,43,0,809,4,23,7,919,0,919,1809,50.80,55,0.00,0.22,2.38,0.00,44.72,0.22,1.27,0.39,50.80,0.00
3103702,ARAPONGA - MG,303.793,8,1,184,0,1406,6,44,14,2525,4,2525,4192,60.23,55,0.19,0.02,4.39,0.00,33.54,0.14,1.05,0.33,60.23,0.10
3103751,ARAPORÃ - MG,294.354,6,0,175,0,3385,0,13,10,823,2,3385,4414,76.69,30,0.14,0.00,3.96,0.00,76.69,0.00,0.29,0.23,18.65,0.05
3103801,ARAPUÁ - MG,173.894,4,6,138,0,1521,3,10,4,469,0,1521,2155,70.58,30,0.19,0.28,6.40,0.00,70.58,0.14,0.46,0.19,21.76,0.00
